Id,Name,AUTO,ES27,ES64,WEEK_AHEAD,BEST_WIS,MEAN_WIS
36,Ohio,43.541,43.277,43.201,2,ES64,28.93933333
36,Ohio,65.433,63.8,63.211,3,ES64,43.07766667
36,Ohio,87.142,84.37,82.932,4,ES64,57.17066667
37,Oklahoma,28.756,29.651,29.288,1,AUTO,19.469
37,Oklahoma,45.449,43.73,42.398,2,ES64,29.72633333
37,Oklahoma,58.763,55.523,52.869,3,ES64,38.09533333
37,Oklahoma,71.309,66.922,63.039,4,ES64,46.077
38,Oregon,38.592,39.571,40.025,1,AUTO,26.05433333
38,Oregon,64.755,65.002,64.601,2,ES64,43.25233333
38,Oregon,92.738,89.446,88.264,3,ES64,60.728
38,Oregon,129.043,121.478,123.297,4,ES27,83.507
39,Pennsylvania,43.955,44.578,45.557,1,AUTO,29.511
39,Pennsylvania,89.779,90.083,93.548,2,AUTO,59.954
39,Pennsylvania,134.747,132.998,139.394,3,ES27,89.24833333
39,Pennsylvania,178.852,173.965,183.645,4,ES27,117.6056667
40,Rhode Island,9.111,9.311,9.328,1,AUTO,6.140666667
40,Rhode Island,16.425,17.853,17.356,2,AUTO,11.426
40,Rhode Island,22.258,24.826,23.883,3,AUTO,15.69466667
40,Rhode Island,27.469,31.878,30.344,4,AUTO,19.78233333
41,South Carolina,23.104,22.77,22.845,1,ES27,15.29133333
41,South Carolina,47.582,45.428,44.659,2,ES64,31.00333333
41,South Carolina,72.573,69.305,66.862,3,ES64,47.29266667
41,South Carolina,93.33,89.704,85.481,4,ES64,61.01133333
42,South Dakota,12.534,12.336,12.521,1,ES27,8.29
42,South Dakota,21.359,20.681,21.451,2,ES27,14.01333333
42,South Dakota,26.731,25.552,27.716,3,ES27,17.42766667
42,South Dakota,33.701,31.78,34.865,4,ES27,21.827
43,Tennessee,41.735,39.473,40.194,1,ES27,27.06933333
43,Tennessee,76.177,68.249,68.814,2,ES27,48.142
43,Tennessee,114.353,99.818,101.924,3,ES27,71.39033333
43,Tennessee,146.914,126.436,129.425,4,ES27,91.11666667
44,Texas,82.868,80.255,81.307,1,ES27,54.37433333
44,Texas,183.513,176.49,175.467,2,ES64,120.001
44,Texas,257.447,249.417,239.448,3,ES64,168.9546667
44,Texas,332.244,316.432,304.054,4,ES64,216.2253333
45,Utah,56.588,54.858,55.959,1,ES27,37.14866667
45,Utah,85.787,80.962,81.64,2,ES27,55.583
45,Utah,107.413,99.127,99.802,3,ES27,68.84666667
45,Utah,128.056,116.849,118.858,4,ES27,81.635
46,Vermont,4.222,4.198,4.263,1,ES27,2.806666667
46,Vermont,8.33,8.264,8.081,2,ES64,5.531333333
46,Vermont,10.996,10.926,10.51,3,ES64,7.307333333
46,Vermont,13.681,13.831,13.149,4,ES64,9.170666667
